trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-126.55977921016184,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",35,0,-72.90301140053148,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,1,-146.67916276340154,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 3}",1
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-143.36416593907248,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-220.56894405176945,"{0: 8, 1: 8, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-115.59558665008262,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-131.1603580240889,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-31.978956929686934,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-72.30525133832504,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-164.82867481235905,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-200.08795470506178,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-14.577202333803674,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-73.10914325825607,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",30,0,-136.51349633204262,"{0: 17, 1: 5, 2: 3, 3: 5, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-113.02250613678788,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-77.40420060355068,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-55.63915466595565,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",30,0,-272.2128362783196,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-127.02163428544118,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-54.378038425804654,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-116.08173196566787,"{0: 10, 1: 6, 2: 8, 3: 1, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",30,0,-176.71439735128044,"{0: 13, 1: 7, 2: 8, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-84.69979308290647,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-225.6716859234436,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-67.6460107627269,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
