trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.98587227983255,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-75.03253486052853,"{0: 15, 1: 20, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-38.50941344244526,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.6483684952432,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.614794939874045,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.69285553863346,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.28276019088371,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.00597384537086,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.71540262249365,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.83283236275849,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.46130014056811,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.344453160090307,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.310969952001248,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-42.81601041048902,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-53.370167653099955,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.17442874931561,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.22582744299385,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.25557298012795,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.118309923130624,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.48918643615697,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-47.456536551333514,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.31832026678725,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.501528229353323,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-60.54207592121455,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-26.24147609399155,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.652413826266596,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.072527796503447,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.37395942801691,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.179526372565135,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.72360468358896,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
